Address,SBL #,Sale Price,Sale Date,Total Assessed Value,Property Type Building Style,Lot Size,Year Built,SQFT,Bedrooms-Baths-Fireplaces
"46 COCHRANE, Buffalo",123.35-6-7,"$44,000 ",1/30/2002,"$35,000 ",Residential - 1 Family Res,30 x 113,1930,967,2/1/2000
"824 ASHLAND, Buffalo",89.61-3-8,"$47,000 ",1/30/2002,"$126,200 ",Residential - 1 Family Res,29 x 140,1900,"1,662",4/1/2000
"90 ACADEMY, Buffalo",101.58-2-18,"$64,500 ",1/31/2002,"$62,000 ",Residential - 2 Family Res,35 x 140,1917,"3,050",6/2/2000
"172 STEWART, Buffalo",101.51-2-26,"$42,500 ",1/31/2002,"$46,500 ",Residential - 1 Family Res,45 x 103,1954,984,2/1/2000
"22 SANDROCK, Buffalo",77.72-3-3,"$49,440 ",1/31/2002,"$54,100 ",Residential - 2 Family Res,32 x 110,1920,"2,056",6/2/2000
"695 CRESCENT, Buffalo",78.82-1-44,"$100,000 ",1/31/2002,"$125,000 ",Residential - 1 Family Res,40 x 140,1920,"1,250",3/1/2001
"105 COLUMBUS, Buffalo",133.40-7-5,"$49,500 ",2/1/2002,"$78,500 ",Residential - 2 Family Res,35 x 111,1923,"2,844",6/2/2000
"316 CAMBRIDGE, Buffalo",90.71-2-21,"$45,000 ",2/1/2002,"$43,400 ",Residential - 1 Family Res,40 x 125,1920,"2,208",4 / 1.5 / 1
"BAILEY, Buffalo",123.06-1-15.2,"$200,000 ",2/1/2002,"$180,000 ",Commercial - Other Storage,155 x 159.4,,,
"501 AMHERST ST, Buffalo",88.28-6-7.11,"$315,000 ",2/1/2002,"$282,200 ",Industrial - Manufacture,200 x 0,,,
"444 COLVIN, Buffalo",78.49-5-18,"$77,500 ",2/1/2002,"$105,000 ",Residential - 2 Family Res,35 x 150,1925,"2,560",6/2/2000
"88 UTICA WEST, Buffalo",100.47-1-2,"$175,000 ",2/4/2002,"$238,000 ",Commercial - Det row bldg,147 x 148,,,
"9 COUNTESS, Buffalo",101.42-3-25,"$47,900 ",2/5/2002,"$46,500 ",Residential - 2 Family Res,60 x 125,1930,"1,754",5/2/2000
"1176 MAIN, Buffalo",100.63-1-20,"$250,000 ",2/5/2002,"$250,000 ",Community Service - Health bldg,85 x 295,,,
"156 ALABAMA, Buffalo",122.40-6-18,"$15,000 ",2/5/2002,"$15,300 ",Residential - 1 Family Res,25 x 102,1912,"1,195",3/1/2000
"150 REBECCA PARK, Buffalo",77.52-3-12,"$54,000 ",2/7/2002,"$75,000 ",Residential - 1 Family Res,25 x 44,1989,"1,192",3 / 1.5 / 0
"395 GOETHE, Buffalo",112.27-5-24,"$52,500 ",2/8/2002,"$57,500 ",Residential - 1 Family Res,60 x 54,1940,"1,020",2/1/2001
"43 MORGAN, Buffalo",133.65-1-10,"$130,000 ",2/8/2002,"$132,000 ",Residential - 1 Family Res,80 x 160,1940,"1,892",3 / 1.5 / 2
"2261 SENECA, Buffalo",133.34-2-9,"$55,000 ",2/12/2002,"$50,000 ",Residential - 3 Family Res,33 x 120,1920,"3,077",6/3/2001
"20 ALBERT, Buffalo",77.57-3-34,"$38,000 ",2/15/2002,"$46,000 ",Residential - 1 Family Res,30 x 100,1915,"1,352",4/2/2000
"153 BRUNSWICK, Buffalo",100.34-2-29,"$53,000 ",2/15/2002,"$48,700 ",Residential - 2 Family Res,37.54 x 110,1920,"3,158",6/2/2000
"117 WHITEHALL, Buffalo",133.73-4-13,"$72,900 ",2/15/2002,"$81,200 ",Residential - 1 Family Res,35 x 115,1950,"1,094",4/1/2000
"76 GERMAIN, Buffalo",88.27-3-23,"$35,000 ",2/15/2002,"$60,000 ",Commercial - Apartment,30 x 150,,,
"155 URBAN, Buffalo",101.53-2-5,"$36,000 ",2/15/2002,"$25,000 ",Residential - 1 Family Res,33.6 x 125,1900,"1,434",3 / 1.5 / 0
"315 DEWEY, Buffalo",90.53-2-7,"$27,000 ",2/19/2002,"$31,100 ",Residential - 2 Family Res,36.5 x 120,1920,"1,965",5/2/2000
"48 DUNDEE, Buffalo",133.66-4-38,"$74,200 ",2/22/2002,"$80,900 ",Residential - 1 Family Res,37.5 x 112,1928,"1,279",3/1/2000
"44 DELANEY, Buffalo",78.41-3-8,"$75,000 ",2/22/2002,"$90,000 ",Residential - 2 Family Res,30 x 120,1930,"2,003",4/2/2000
"203 CLEVELAND AVE, Buffalo",100.22-4-25,"$113,500 ",2/22/2002,"$190,000 ",Residential - 1 Family Res,35 x 70,1910,"2,748",6/3/2000
"150 SIDWAY, Buffalo",122.41-1-13,"$32,000 ",2/25/2002,"$20,000 ",Residential - 1 Family Res,26 x 112,1900,931,3/1/2000
"153 WILLIAM, Buffalo",111.14-1-12,"$74,918 ",2/26/2002,"$77,000 ",Residential - 1 Family Res,46.58 x 136.33,1990,"1,530",3 / 1.5 / 0
"112 LARCHMONT, Buffalo",79.38-4-5,"$86,000 ",2/27/2002,"$170,200 ",Residential - 1 Family Res,40 x 120,1916,"1,704",3/2/2001
"270 FERRY WEST, Buffalo",99.35-8-10.1,"$250,000 ",2/28/2002,"$250,000 ",Commercial - Det row bldg,213.2 x 97,,,
"142 THEODORE, Buffalo",101.41-4-11,"$50,880 ",2/28/2002,"$36,000 ",Residential - 1 Family Res,31 x 185,1920,"1,200",3/1/2000
"107 FAY, Buffalo",101.72-4-42,"$26,000 ",3/5/2002,"$2,100 ",Vacant Land - Res vac land,35 x 123,,,
"15 KOPERNIK, Buffalo",123.33-4-18,"$47,500 ",3/5/2002,"$56,000 ",Residential - 1 Family Res,32 x 116,1927,"1,150",4/1/2000
"346 LINWOOD AVE, Buffalo",100.39-1-16,"$180,000 ",3/7/2002,"$210,000 ",Residential - 1 Family Res,50 x 195,1920,"3,636",4 / 2.5 / 2
"7 ALLENHURST, Buffalo",79.39-5-14,"$117,500 ",3/8/2002,"$184,800 ",Residential - 1 Family Res,60 x 110,1930,"2,768",5 / 1.5 / 1
"68 DUNSTON, Buffalo",77.26-6-26,"$57,000 ",3/8/2002,"$62,000 ",Residential - 1 Family Res,32.24 x 112,1910,"1,770",3/2/2000
"719 MCKINLEY PKWY, Buffalo",133.32-1-13,"$88,000 ",3/8/2002,"$100,300 ",Residential - 2 Family Res,34.6 x 130,1920,"2,886",6/2/2000
"220 DEPEW AVE, Buffalo",78.84-1-19,"$262,000 ",3/11/2002,"$355,000 ",Residential - 1 Family Res,60 x 174,1910,"3,960",6 / 3.5 / 2
"440 AMHERST ST, Buffalo",88.27-4-31,"$81,000 ",3/13/2002,"$83,000 ",Commercial - Det row bldg,50 x 100,,,
"63 STRATHMORE, Buffalo",133.32-7-10,"$77,000 ",3/14/2002,"$75,000 ",Residential - 1 Family Res,34 x 105,1908,"1,432",3/2/2000
"225 CARMEL, Buffalo",79.45-1-24,"$64,000 ",3/14/2002,"$76,400 ",Residential - 1 Family Res,45 x 115,1948,"1,202",3/1/2000
"35 HARVARD, Buffalo",100.24-3-42,"$29,500 ",3/15/2002,"$51,000 ",Residential - 2 Family Res,33 x 90,1900,"2,316",6/2/2001
"85 SIXTEENTH, Buffalo",99.60-7-34,"$45,000 ",3/15/2002,"$45,000 ",Residential - 1 Family Res,30 x 149,1870,"1,617",3/1/2000
"96 CLAREMONT, Buffalo",89.69-1-15.2,"$90,000 ",3/15/2002,"$130,000 ",Residential - 1 Family Res,37.38 x 112,1910,"1,586",5/1/2000
"31 NORTHRUP WEST, Buffalo",79.54-3-47,"$52,900 ",3/18/2002,"$56,000 ",Residential - 1 Family Res,34 x 109,1930,"1,484",3/1/2000
"17 GROVE, Buffalo",77.68-5-22,"$35,000 ",3/18/2002,"$41,000 ",Residential - 2 Family Res,32 x 104.5,1910,"1,628",4/2/2000
"109 LARCHMONT, Buffalo",79.39-1-15,"$115,000 ",3/18/2002,"$148,400 ",Residential - 1 Family Res,51.31 x 120,1925,"1,649",2/1/2001
"106 HAZELWOOD, Buffalo",90.82-2-6,"$45,000 ",3/18/2002,"$42,000 ",Residential - 1 Family Res,30 x 100,1937,"1,174",3/1/2000
"54 SANDROCK, Buffalo",77.64-5-19,"$39,000 ",3/21/2002,"$37,000 ",Residential - 1 Family Res,35 x 110,1918,"1,207",6/1/2000
"691 HUMBOLDT, Buffalo",100.35-2-26,"$64,000 ",3/21/2002,"$56,800 ",Residential - 1 Family Res,42 x 135,1920,"2,525",3 / 1.5 / 0
"344 MCKINLEY PKWY, Buffalo",133.56-3-36,"$79,900 ",3/22/2002,"$94,600 ",Residential - 1 Family Res,47.33 x 130,1900,"1,612",3/2/2001
"1846 CLINTON, Buffalo",123.34-1-17,"$61,000 ",3/25/2002,"$50,000 ",Commercial - Det row bldg,33.33 x 135,,,
"245 WOODBRIDGE, Buffalo",78.75-4-16,"$240,000 ",3/25/2002,"$309,000 ",Residential - 1 Family Res,56 x 159,1922,"2,650",3 / 3.5 / 1
"39 AMBER, Buffalo",133.46-3-8,"$45,000 ",3/25/2002,"$49,000 ",Residential - 1 Family Res,35 x 127,1920,932,3/1/2000
"210 CONDON, Buffalo",77.32-2-6,"$54,900 ",3/26/2002,"$55,000 ",Residential - 2 Family Res,29.5 x 110,1925,"2,018",6/2/2000
"238 DAVIDSON, Buffalo",90.34-3-24,"$48,000 ",3/26/2002,"$51,000 ",Residential - 2 Family Res,35 x 105,1940,"2,057",6/2/2000
"319 ELMWOOD, Buffalo",100.62-1-33,"$115,000 ",3/27/2002,"$175,000 ",Commercial - Apartment,42 x 153,,,
"40 WATERFRONT CIR, Buffalo",110.68-1-7.1/101,"$350,000 ",3/28/2002,"$325,000 ",Residential - 1 Family Res,4 x 0,1990,"1,945",2/2/2001
"41 FLOWER, Buffalo",79.46-9-20,"$29,500 ",3/28/2002,"$38,300 ",Residential - 1 Family Res,30 x 90,1900,660,2/1/2000
"36 HOMER, Buffalo",78.63-3-17,"$82,000 ",3/28/2002,"$94,000 ",Residential - 1 Family Res,36 x 150,1922,"1,820",4 / 1.5 / 0
"74 HUNTINGTON, Buffalo",79.69-4-5,"$119,900 ",4/1/2002,"$160,000 ",Residential - 2 Family Res,50 x 150,1920,"3,820",8 / 2.5 / 0
"228 LUDINGTON, Buffalo",112.50-4-17,"$23,000 ",4/2/2002,"$45,000 ",Residential - 1 Family Res,33.5 x 120,1920,966,4/1/2000
"14 SUMMIT, Buffalo",89.42-2-18,"$123,875 ",4/2/2002,"$152,523 ",Residential - 1 Family Res,31 x 136,1920,"2,206",4 / 1.5 / 0
"62 DELANEY, Buffalo",78.41-3-5,"$73,000 ",4/4/2002,"$88,000 ",Residential - 2 Family Res,60 x 120,1950,"1,704",4/2/2000
"28 MEADOW VIEW, Buffalo",89.57-2-1.1,"$157,500 ",4/4/2002,"$189,000 ",Residential - 2 Family Res,51 x 192,1920,"3,800",8/3/2002
"2 FLOWER, Buffalo",79.54-1-25,"$62,080 ",4/5/2002,"$59,000 ",Residential - 2 Family Res,19.45 x 0,1910,"2,260",6/2/2000
"223 WEISS, Buffalo",123.34-1-28,"$57,500 ",4/5/2002,"$60,700 ",Residential - 1 Family Res,30 x 100,1915,"1,422",4/1/2000
"208 CLEVELAND AVE, Buffalo",100.30-1-1,"$113,000 ",4/5/2002,"$190,000 ",Residential - 1 Family Res,43 x 74,1902,"2,112",3/2/2000
"192 TAUNTON, Buffalo",78.49-1-15,"$65,000 ",4/12/2002,"$97,000 ",Residential - 1 Family Res,34.5 x 118,1927,"1,620",3 / 1.5 / 1
"14 BLAINE, Buffalo",89.74-1-61,"$61,000 ",4/12/2002,"$99,000 ",Residential - 1 Family Res,40 x 120,1920,"2,040",4 / 1.5 / 0
"273 NOTTINGHAM, Buffalo",89.38-1-5,"$480,000 ",4/15/2002,"$635,000 ",Residential - 1 Family Res,128.05 x 180,1904,"5,680",9 / 4.5 / 3
"497 NORWOOD, Buffalo",100.21-5-40,"$149,000 ",4/17/2002,"$225,000 ",Residential - 3 Family Res,41.7 x 125,1900,"4,402",7/4/2002
"208 MILLICENT, Buffalo",90.42-3-40,"$55,670 ",4/19/2002,"$50,000 ",Residential - 1 Family Res,35 x 105,1935,"2,108",5/2/2000
"130 CRESTWOOD, Buffalo",78.64-3-13,"$63,000 ",4/19/2002,"$110,000 ",Residential - 3 Family Res,33 x 154,1925,"2,454",5/3/2000
"346 MARTHA, Buffalo",90.43-3-11,"$42,400 ",4/19/2002,"$53,000 ",Residential - 1 Family Res,51 x 88.19,1953,"1,200",3/1/2000
"58 RIVERSIDE, Buffalo",77.56-1-12,"$63,494 ",4/19/2002,"$60,000 ",Residential - 1 Family Res,30 x 110,1892,"1,884",5/1/2000
"30 HANCOCK, Buffalo",133.81-1-41,"$66,000 ",4/22/2002,"$83,100 ",Residential - 1 Family Res,25 x 118,1989,"1,144",2 / 1.5 / 0
"217 ELMWOOD, Buffalo",100.70-1-31,"$248,000 ",4/22/2002,"$340,000 ",Commercial - Apartment,88 x 57,,,
"81 FORDHAM, Buffalo",89.22-5-44,"$91,000 ",4/22/2002,"$181,000 ",Residential - 1 Family Res,35 x 132,1920,"2,373",4 / 1.5 / 0
"209 ELMWOOD, Buffalo",100.70-1-30,"$500,000 ",4/22/2002,"$400,000 ",Commercial - Apartment,88 x 57,,,
"68 BAYNES, Buffalo",99.28-8-19,"$34,000 ",4/23/2002,"$36,000 ",Residential - 2 Family Res,30 x 119,1900,"1,920",4/2/2000
"78 MELROSE, Buffalo",123.80-6-28,"$67,000 ",4/23/2002,"$73,000 ",Residential - 2 Family Res,36 x 110,1928,"2,024",5/2/2000
"62 MONTROSE, Buffalo",79.38-7-9,"$85,200 ",4/24/2002,"$62,000 ",Residential - 1 Family Res,34 x 100,1920,"1,408",4/1/2000
"315 JERSEY, Buffalo",99.76-8-1,"$45,000 ",4/24/2002,"$54,000 ",Commercial - Det row bldg,35 x 120,,,
"125 BIRD, Buffalo",88.74-3-2,"$45,000 ",4/24/2002,"$45,000 ",Residential - 1 Family Res,27 x 140,1900,"1,842",3/1/2000
"2981 BAILEY, Buffalo",90.41-2-46,"$39,000 ",4/25/2002,"$49,000 ",Commercial - >1use sm bld,90 x 76.1,,,
"39 BELVEDERE, Buffalo",133.49-1-5,"$90,000 ",4/25/2002,"$87,000 ",Residential - 1 Family Res,37 x 139,1920,"1,573",3/1/2000
"752 LAFAYETTE AVE, Buffalo",89.79-1-30,"$275,000 ",4/25/2002,"$315,000 ",Residential - 1 Family Res,52 x 126,1925,"3,081",5 / 3.5 / 2
"514 RICHMOND, Buffalo",99.36-4-8,"$156,500 ",4/26/2002,"$210,000 ",Residential - 1 Family Res,46 x 170,1890,"2,446",3 / 1.5 / 1
"137 MILBURN, Buffalo",112.31-1-21,"$14,000 ",4/29/2002,"$21,000 ",Residential - 2 Family Res,30 x 132,1900,"1,624",3/2/2000
"38 SARANAC, Buffalo",78.73-2-11,"$73,900 ",4/29/2002,"$101,000 ",Residential - 1 Family Res,60 x 92,1900,"1,957",3 / 1.5 / 1
"66 CROSSMAN AVE, Buffalo",101.43-1-43,"$54,900 ",4/29/2002,"$46,800 ",Residential - 1 Family Res,33 x 100,1923,"1,232",3/1/2000
"115 MONTROSE, Buffalo",79.38-2-14,"$74,000 ",4/29/2002,"$61,600 ",Residential - 1 Family Res,31 x 100,1916,"1,230",3/1/2000
"1018 PARKSIDE, Buffalo",78.52-5-15,"$105,000 ",4/29/2002,"$140,000 ",Residential - 2 Family Res,38 x 130,1930,"2,382",3 / 2.5 / 1
"131 SEYMOUR, Buffalo",111.83-11-8,"$39,900 ",4/30/2002,"$27,600 ",Residential - 2 Family Res,33 x 130,1900,"2,856",6/2/2000
"1088 DELAWARE, Buffalo",100.39-1-32./113,"$67,500 ",4/30/2002,"$3,600 ",Vacant Land - Com vac w/imp,1 x 215,,,
"46 COOLIDGE, Buffalo",133.57-1-42,"$118,000 ",5/1/2002,"$120,000 ",Residential - 1 Family Res,40 x 116,1939,"1,728",3 / 1.5 / 1
"1088 DELAWARE, Buffalo",100.39-1-32./16D,"$70,000 ",5/1/2002,"$27,600 ",Commercial - Apartment,2 x 215,1990,791,1/1/2000
"122 HAGEN, Buffalo",101.26-8-7,"$39,900 ",5/2/2002,"$38,400 ",Residential - 1 Family Res,37 x 96,1920,"1,441",3/1/2000
"24 MALSCH, Buffalo",77.40-3-18,"$48,000 ",5/3/2002,"$54,400 ",Residential - 2 Family Res,27.5 x 153,1930,"2,031",3/2/2000
"177 ANDERSON, Buffalo",100.38-4-10,"$123,000 ",5/3/2002,"$175,000 ",Residential - 2 Family Res,30 x 127,1900,"2,946",6/2/2000
"167 WESTON, Buffalo",90.66-9-5,"$46,900 ",5/6/2002,"$49,000 ",Residential - 1 Family Res,43 x 110,1947,"1,080",3/1/2000
"306 DELAWARE, Buffalo",111.29-7-6,"$510,000 ",5/6/2002,"$2,080,000 ",Commercial - Office bldg.,118 x 100,,,
"224 CLINTON, Buffalo",111.14-1-35,"$83,500 ",5/9/2002,"$85,000 ",Residential - 1 Family Res,45 x 136.34,1991,"1,564",3 / 1.5 / 1
"103 PORTSIDE, Buffalo",110.59-1-3.2/103,"$310,000 ",5/9/2002,"$400,000 ",Residential - 1 Family Res,11 x 66,1989,"3,337",4 / 3.5 / 1
"300 SUMMIT, Buffalo",89.26-3-5,"$127,500 ",5/9/2002,"$150,000 ",Residential - 1 Family Res,50 x 130,1911,"1,904",3 / 1.5 / 1
"765 FERRY WEST, Buffalo",100.30-3-21.112,"$290,000 ",5/9/2002,"$275,000 ",Residential - 1 Family Res,81 x 69,1996,"1,400",3 / 2.5 / 1
"12 CHAUNCEY, Buffalo",112.57-4-52.21,"$17,700 ",5/10/2002,"$25,000 ",Commercial - Other Storage,65 x 112,,,
"40 ATHOL, Buffalo",133.32-5-7,"$49,820 ",5/10/2002,"$68,500 ",Residential - 1 Family Res,35 x 124,1918,"1,080",3/1/2000
"32 ORANGE, Buffalo",111.24-6-12.11,"$84,500 ",5/10/2002,"$63,000 ",Residential - 1 Family Res,62 x 100,1991,"1,400",3 / 1.5 / 0
"12 WILDWOOD, Buffalo",133.43-7-18,"$58,300 ",5/10/2002,"$56,900 ",Residential - 1 Family Res,30 x 120,1915,"1,364",3/1/2000
"27 HARBOUR POINTE COMMO, Buffalo",110.59-2-11,"$237,250 ",5/10/2002,"$220,000 ",Residential - 1 Family Res,24 x 63,1981,"2,800",3 / 2.5 / 1
"52 POPLAR, Buffalo",101.58-5-25,"$60,000 ",5/13/2002,"$60,000 ",Residential - 2 Family Res,50.5 x 186,1910,"2,932",7/2/2000
"258 UTICA EAST, Buffalo",100.49-2-40,"$30,000 ",5/14/2002,"$4,800 ",Vacant Land - Vac w/imprv,30 x 154,,,
"67 LOVERING, Buffalo",78.64-2-44,"$81,750 ",5/14/2002,"$111,000 ",Residential - 2 Family Res,40 x 150,1920,"2,508",6/2/2000
"10 COLTON, Buffalo",78.73-4-15,"$73,000 ",5/15/2002,"$95,000 ",Residential - 1 Family Res,35 x 100,1926,"1,522",4 / 1.5 / 0
"862 TIFFT, Buffalo",133.38-2-19,"$59,900 ",5/16/2002,"$59,900 ",Residential - 1 Family Res,40 x 125,1950,"1,272",4 / 1.5 / 0
"1202 LOVEJOY, Buffalo",112.42-5-29,"$40,000 ",5/16/2002,"$60,000 ",Commercial - >1use sm bld,33.5 x 130,,,
"84 TACOMA, Buffalo",78.54-3-26,"$61,000 ",5/17/2002,"$75,000 ",Residential - 1 Family Res,35 x 122,1910,"1,008",2/1/2001
"1116 LOVEJOY, Buffalo",112.42-3-28,"$26,500 ",5/17/2002,"$35,000 ",Residential - 1 Family Res,33.5 x 164,1870,"1,287",3/1/2000
"75 DELHAM, Buffalo",89.24-3-1,"$92,000 ",5/17/2002,"$145,000 ",Residential - 2 Family Res,38 x 140,1924,"2,944",6/2/2000
"81 TACOMA, Buffalo",78.54-4-24,"$71,500 ",5/17/2002,"$96,000 ",Residential - 1 Family Res,35 x 122,1925,"1,822",4/1/2000
"150 PEARL NORTH, Buffalo",100.70-3-8,"$75,500 ",5/20/2002,"$105,000 ",Residential - 1 Family Res,45 x 100,1880,"2,304",4/2/2002
"159 FREUND, Buffalo",90.83-2-47,"$38,500 ",5/20/2002,"$51,500 ",Residential - 2 Family Res,30 x 111,1928,"1,960",6/2/2000
"429 HIGHGATE, Buffalo",79.65-6-13,"$58,000 ",5/21/2002,"$46,700 ",Residential - 1 Family Res,32 x 110,1930,"1,422",4/1/2000
"101 DOMEDION AVE, Buffalo",101.35-4-25,"$72,000 ",5/21/2002,"$60,000 ",Residential - Multiple res,75 x 110,1913,"2,036",4/2/2000
"341 WOODSIDE, Buffalo",133.57-3-9,"$68,900 ",5/21/2002,"$73,100 ",Residential - 1 Family Res,34 x 150,1930,"1,320",3/1/2000
"297 RIVERSIDE, Buffalo",77.57-3-15,"$46,000 ",5/22/2002,"$46,000 ",Residential - 1 Family Res,30 x 100,1923,"1,432",3 / 1.5 / 0
"20 LOVERING, Buffalo",78.64-1-17,"$85,000 ",5/24/2002,"$113,300 ",Residential - 2 Family Res,40 x 150,1920,"2,648",6/2/2000
"94 SHEPARD, Buffalo",101.80-4-17,"$36,500 ",5/24/2002,"$1,700 ",Vacant Land - Res vac land,30 x 110,,,
"32 TILLINGHAST, Buffalo",78.81-3-17,"$180,000 ",5/28/2002,"$235,000 ",Residential - 1 Family Res,50 x 140,1915,"2,184",4/3/2002
"127 KRAKOW, Buffalo",123.25-1-38,"$70,000 ",5/29/2002,"$70,000 ",Residential - 1 Family Res,30 x 0,1961,"1,064",3/1/2000
"297 HUNTINGTON, Buffalo",78.75-3-21,"$134,500 ",5/29/2002,"$149,000 ",Residential - 1 Family Res,50 x 90,1930,"3,332",5 / 2.5 / 1
"19 ELAM, Buffalo",89.35-4-23,"$102,000 ",5/29/2002,"$118,000 ",Residential - 1 Family Res,36 x 90,1920,"2,298",3/1/2000
"795 ELMWOOD, Buffalo",100.22-2-86,"$360,000 ",5/29/2002,"$375,000 ",Commercial - Det row bldg,43.35 x 83,,,
"38 TREEHAVEN, Buffalo",79.67-1-8,"$95,000 ",5/29/2002,"$135,600 ",Residential - 1 Family Res,50 x 143,1939,"1,656",3 / 1.5 / 1
"115 PAWNEE, Buffalo",123.57-3-9,"$52,400 ",5/30/2002,"$67,000 ",Residential - 3 Family Res,35 x 205,1920,"2,779",7/3/2000
"6 MAYFAIR, Buffalo",100.70-1-22,"$214,875 ",5/30/2002,"$238,000 ",Residential - 1 Family Res,25.5 x 34,1929,"1,500",3 / 2.5 / 1
"11 DAYTONA, Buffalo",122.35-2-36,"$5,000 ",5/31/2002,"$10,900 ",Vacant Land - Vac w/imprv,60 x 82,,,
"746 PARKSIDE, Buffalo",78.58-5-8,"$85,000 ",5/31/2002,"$126,000 ",Residential - 1 Family Res,40 x 159,1928,"1,720",3 / 1.5 / 1
"38 CUSHING, Buffalo",133.66-5-24,"$70,000 ",5/31/2002,"$74,400 ",Residential - 2 Family Res,33 x 112,1935,"1,467",3/2/2000
"771 LAFAYETTE AVE, Buffalo",89.79-5-6./10A,"$215,000 ",5/31/2002,"$53,900 ",Commercial - Apartment,4 x 183,1978,"2,233",4/3/2001
"321 WOODWARD, Buffalo",89.34-3-39,"$157,000 ",5/31/2002,"$193,300 ",Residential - 1 Family Res,50 x 200,1916,"2,439",6 / 2.5 / 1
"157 PHYLLIS, Buffalo",90.42-8-12,"$41,000 ",5/31/2002,"$40,500 ",Residential - 2 Family Res,32 x 105,1925,"1,748",4/2/2000
"352 POTOMAC, Buffalo",88.76-1-22,"$32,500 ",5/31/2002,"$36,000 ",Residential - 2 Family Res,31 x 125,1925,"1,954",4/2/2001
"118 KIMBERLY, Buffalo",133.65-3-41,"$68,500 ",6/3/2002,"$88,400 ",Residential - 1 Family Res,42 x 131,1952,"1,454",3 / 1.5 / 0
"170 LINWOOD AVE, Buffalo",100.55-4-12./B5,"$148,000 ",6/3/2002,"$40,700 ",Commercial - Apartment,13 x 160,1907,"1,635",2/2/2000
"103 TURNER, Buffalo",133.83-3-3,"$80,000 ",6/4/2002,"$99,100 ",Residential - 1 Family Res,40 x 107,1955,"1,404",3/1/2001
"1624 WILLIAM, Buffalo",112.57-3-15,"$202,000 ",6/5/2002,"$215,000 ",Commercial - Mini-mart,185 x 126,,,
"67 REBECCA PARK, Buffalo",77.52-2-8,"$77,000 ",6/5/2002,"$97,400 ",Residential - 1 Family Res,51 x 90,1989,"1,490",3 / 1.5 / 0
"24 OAKWOOD WEST, Buffalo",89.50-3-4,"$94,900 ",6/5/2002,"$146,000 ",Residential - 1 Family Res,35 x 138,1905,"1,902",4 / 1.5 / 1
"191 PARKSIDE, Buffalo",89.42-1-31,"$116,500 ",6/6/2002,"$135,700 ",Commercial - Apartment,45 x 171,,,
"208 TAUNTON, Buffalo",78.49-1-20,"$64,660 ",6/6/2002,"$87,000 ",Residential - 1 Family Res,34.5 x 118,1925,"1,408",3/1/2000
"26 GERALD, Buffalo",90.73-1-34,"$54,900 ",6/6/2002,"$53,500 ",Residential - 1 Family Res,35 x 120,1925,"1,569",4/1/2000
"190 RAMSDELL, Buffalo",78.37-3-5,"$66,500 ",6/7/2002,"$67,000 ",Residential - 1 Family Res,40 x 120,1942,983,2/1/2000
"51 WHITFIELD, Buffalo",133.55-2-11,"$47,500 ",6/7/2002,"$60,400 ",Residential - 2 Family Res,33 x 119,1920,"1,655",4/2/2000
"346 PARKDALE, Buffalo",88.75-3-15,"$27,000 ",6/7/2002,"$50,000 ",Commercial - Apartment,30 x 95,,,
"63 MARBETH, Buffalo",123.79-2-7,"$75,000 ",6/11/2002,"$75,900 ",Residential - 1 Family Res,41 x 105,1954,"1,467",4 / 1.5 / 0
"18 LEONARD, Buffalo",90.34-3-16,"$67,500 ",6/12/2002,"$61,000 ",Residential - 2 Family Res,33 x 175,1925,"2,416",6/2/2000
"72 ASHLAND, Buffalo",100.53-2-47,"$88,000 ",6/12/2002,"$139,600 ",Residential - 2 Family Res,29 x 175,1890,"2,996",4 / 2.5 / 0
"122 RYAN ST, Buffalo",123.74-2-37,"$56,380 ",6/13/2002,"$61,300 ",Residential - 1 Family Res,35 x 110,1960,"1,016",3/1/2000
"80 SPANN, Buffalo",123.41-1-19,"$50,000 ",6/13/2002,"$56,000 ",Residential - 1 Family Res,30 x 101,1927,"1,295",6/1/2000
"41 MARIEMONT, Buffalo",133.55-5-8,"$48,500 ",6/13/2002,"$55,400 ",Residential - 1 Family Res,40 x 116,1922,"1,258",3/1/2000
"102 PRIES, Buffalo",133.30-4-66,"$44,900 ",6/13/2002,"$46,000 ",Residential - 1 Family Res,30 x 102,1910,"1,217",4/1/2000
"280 RICHMOND, Buffalo",99.52-5-16,"$95,000 ",6/13/2002,"$150,000 ",Residential - 2 Family Res,40.8 x 180,1890,"3,180",5/2/2000
"315 KING PETERSON RD, Buffalo",111.63-1-63,"$92,500 ",6/13/2002,"$69,200 ",Residential - 1 Family Res,20 x 71,1998,"1,350",2 / 1.5 / 0
"93 RUTLAND, Buffalo",133.24-4-5,"$65,000 ",6/14/2002,"$72,600 ",Residential - 2 Family Res,40 x 128,1928,"2,130",4/2/2000
"1088 DELAWARE, Buffalo",100.39-1-32./102,"$144,900 ",6/14/2002,"$3,600 ",Vacant Land - Com vac w/imp,1 x 215,,,
"69 HENRIETTA, Buffalo",77.41-2-72,"$45,900 ",6/17/2002,"$45,900 ",Residential - 1 Family Res,30 x 132,1925,"1,188",3/1/2000
"223 PINE ST, Buffalo",111.56-2-64.31,"$72,200 ",6/17/2002,"$80,000 ",Residential - 1 Family Res,46 x 131,1986,"1,540",2 / 1.5 / 0
"96 CHAUNCEY, Buffalo",112.57-4-35,"$47,000 ",6/17/2002,"$55,100 ",Residential - 1 Family Res,43.75 x 112,1955,"1,256",4 / 1.5 / 0
